,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
113,113,36.8,2023-12-06 11:25:58.544375,2023-12-06 11:25:59.157974,0 days 00:00:00.613599,0.5,0.5,4.0,20,random selection,COMPLETE
114,114,36.8,2023-12-06 11:25:59.158186,2023-12-06 11:25:59.756597,0 days 00:00:00.598411,0.95,0.5,4.0,50,weighted choice,COMPLETE
115,115,37.2,2023-12-06 11:25:59.756788,2023-12-06 11:26:24.779846,0 days 00:00:25.023058,0.5,0.5,0.0,50,weighted choice,COMPLETE
116,116,38.8,2023-12-06 11:26:24.780063,2023-12-06 11:26:25.313813,0 days 00:00:00.533750,0.95,0.0,4.0,10,weighted choice,COMPLETE
117,117,37.6,2023-12-06 11:26:25.314009,2023-12-06 11:26:28.403312,0 days 00:00:03.089303,0.6,0.1,0.0,10,roulette wheel,COMPLETE
118,118,37.6,2023-12-06 11:26:28.403506,2023-12-06 11:26:28.765728,0 days 00:00:00.362222,0.8,0.1,4.0,20,roulette wheel,COMPLETE
119,119,38.4,2023-12-06 11:26:28.765909,2023-12-06 11:26:42.876225,0 days 00:00:14.110316,0.0,0.0,,20,weighted choice,COMPLETE
120,120,37.2,2023-12-06 11:26:42.876399,2023-12-06 11:27:10.727824,0 days 00:00:27.851425,0.95,0.1,0.0,100,roulette wheel,COMPLETE
121,121,37.2,2023-12-06 11:27:10.728024,2023-12-06 11:27:11.213496,0 days 00:00:00.485472,0.6,0.33,1.0,10,roulette wheel,COMPLETE
122,122,37.2,2023-12-06 11:27:11.213688,2023-12-06 11:27:34.754137,0 days 00:00:23.540449,0.0,0.5,,50,weighted choice,COMPLETE
123,123,37.6,2023-12-06 11:27:34.754350,2023-12-06 11:27:42.766013,0 days 00:00:08.011663,0.0,0.33,,20,weighted choice,COMPLETE
124,124,36.8,2023-12-06 11:27:42.766207,2023-12-06 11:27:43.383052,0 days 00:00:00.616845,0.5,0.0,2.0,20,random selection,COMPLETE
125,125,37.6,2023-12-06 11:27:43.383297,2023-12-06 11:27:47.692021,0 days 00:00:04.308724,0.0,0.01,,20,random selection,COMPLETE
126,126,38.0,2023-12-06 11:27:47.692212,2023-12-06 11:27:48.286243,0 days 00:00:00.594031,0.5,0.33,4.0,100,weighted choice,COMPLETE
127,127,39.6,2023-12-06 11:27:48.286466,2023-12-06 11:27:48.807372,0 days 00:00:00.520906,0.5,0.01,4.0,10,weighted choice,COMPLETE
128,128,38.0,2023-12-06 11:27:48.807571,2023-12-06 11:27:49.162115,0 days 00:00:00.354544,0.6,0.1,1.0,100,roulette wheel,COMPLETE
129,129,41.6,2023-12-06 11:27:49.162314,2023-12-06 11:27:49.650219,0 days 00:00:00.487905,0.95,0.0,1.0,20,roulette wheel,COMPLETE
130,130,38.0,2023-12-06 11:27:49.650411,2023-12-06 11:27:50.255462,0 days 00:00:00.605051,0.5,0.5,2.0,100,roulette wheel,COMPLETE
131,131,36.8,2023-12-06 11:27:50.255657,2023-12-06 11:27:50.819392,0 days 00:00:00.563735,0.95,0.5,4.0,50,roulette wheel,COMPLETE
132,132,37.2,2023-12-06 11:27:50.819575,2023-12-06 11:27:51.322303,0 days 00:00:00.502728,0.5,0.33,1.0,50,random selection,COMPLETE
133,133,36.4,2023-12-06 11:27:51.322510,2023-12-06 11:28:24.750075,0 days 00:00:33.427565,0.6,0.33,0.0,100,random selection,COMPLETE
134,134,34.4,2023-12-06 11:28:24.750297,2023-12-06 11:28:25.047880,0 days 00:00:00.297583,0.95,0.0,2.0,50,random selection,COMPLETE
135,135,38.0,2023-12-06 11:28:25.048077,2023-12-06 11:28:47.582110,0 days 00:00:22.534033,0.0,0.1,,100,roulette wheel,COMPLETE
136,136,36.8,2023-12-06 11:28:47.582306,2023-12-06 11:28:48.013721,0 days 00:00:00.431415,0.5,0.01,1.0,20,random selection,COMPLETE
137,137,42.8,2023-12-06 11:28:48.013914,2023-12-06 11:28:48.290289,0 days 00:00:00.276375,0.95,0.0,1.0,100,weighted choice,COMPLETE
